"modelLoop","generation","gameteSizeGene1","fusionTargetGene1","gameteSizeGene2","fusionTargetGene2"
89,0,3.39035635852558,2.86356751628168,3.76172923850493,2.71535967056874
89,0,5.11728294044742,1.55572974037494,1.20379279290037,1
89,0,5.97339190629752,2.7608325865608,6.27303963798095,6.9210188752224
89,0,3.02111395096751,1.50724743666637,2.45673475621485,1.42996788969071
89,0,4.58535226799099,1.48381664639833,2.86392229354965,3.95369273806857
89,0,4.437093639163,2.12920595152215,1,1.85991803744825
89,0,2.41521960932307,1,2.59148301652672,2.60300962374135
89,0,1.8509264675453,5.16979483009137,4.38376923534928,2.2721794874176
89,0,1,1.82986707144869,4.154602849811,2.23247400512604
89,0,4.01722199168434,4.70755075432058,3.94093734498649,1.73637403793526
89,0,1,2.77522258394239,7.27886861396577,1
89,0,4.24405847618412,1,4.64132044546718,4.84147109205657
89,0,2.30154143040221,2.69153729218037,2.21229588304845,1
89,0,4.20148381713807,3.98602934621803,2.79974434220483,5.1873317500094
89,0,3.07858678329632,1,4.10254860222755,2.6728426243968
89,0,4.64486053768227,2.95771815956922,7.26111825068159,4.01931757901366
89,0,1,1,5.23293374531186,4.96340822708195
89,0,1,2.01054970435467,6.01063275555752,3.7069111756973
89,0,3.64322763754455,1,3.90390132519483,3.22200459072225
89,0,4.15774482016054,2.61467238013961,2.83751989297443,2.44338519585254
89,0,2.90962041260358,4.71313847173679,3.31090303291722,1
89,0,2.35783291238953,1,1,3.49259869275816
89,0,4.40489864646717,6.47158473247834,5.46300238429396,2.42019704131994
89,0,1,5.05901188521617,3.29560831156533,2.06342741065247
89,0,1,6.88543325000928,1.70412657499419,3.98598603288427
89,0,1,2.29102866909707,1,1
89,0,5.85169204458213,2.35654124928104,1,1.87843667143467
89,0,5.94463637084707,1,1,1
89,0,2.27080464356224,2.16640081728097,3.72537961215752,2.52668246224974
89,0,3.9690836445659,5.59844674083382,2.35061651328415,1
89,0,3.34396082638257,4.76100406486469,2.91201406319338,2.42295663985638
89,0,3.98994563241563,1.10000579638426,1.41347264895205,1
89,0,1,1,3.20172898896658,3.27475637742776
89,0,6.06903771365061,3.91789212361927,2.94805470571338,1.3545210410589
89,0,1,1.8636732679624,1.78780889065786,3.97663091952261
89,0,1,3.16078535655374,1.42020677549047,1.62068781723962
89,0,1.88185956294618,5.55875572923201,4.4635055904575,3.69386861678802
89,0,3.71156488428253,2.77498140423074,4.02808446168859,1.24626057497787
89,0,3.59464145079444,1,1.91650149561533,1
89,0,1,1,3.20219871088398,1.36044012519667
89,0,1.9372675291424,2.56129674809906,1.95270409754026,4.49089520359616
89,0,1,1.15665766455416,1,3.18722988688275
89,0,1.97403057435896,2.56065821876707,3.88330537207412,1
89,0,4.4762115424603,2.93236597104953,1,1
89,0,1,3.35419445058127,1.92723182077565,1.78280387015988
89,0,2.36734669177073,2.45195175956165,2.05289368351632,3.6968433021618
89,0,1.33210241343363,4.82982730956701,4.59296116745441,2.99308502475496
89,0,4.4725260351353,1.23725408386224,4.38286581535907,4.27022868579237
89,0,5.19936077322126,5.44443317832837,1.10181538770985,1.51409130648058
89,0,3.99777059207206,3.41864706315015,4.9698322152369,1
89,0,3.4266819204347,2.78282658939301,1,4.24526695299248
89,0,2.86892257287501,1.15280674366916,4.52388598000568,5.74302692139149
89,0,6.07627060404389,1,2.62677425451846,3.20141011400754
89,0,1,1.30329552934049,2.60881633632722,4.83086556435951
89,0,5.18918248905394,2.8323341853371,1.44600687087497,1
89,0,2.59412814924824,3.67071080318825,2.02384793790322,1.9091824720915
89,0,1,1,4.95310944104604,1
89,0,1.03691624919637,1.64345102459436,1,2.20331499810881
89,0,4.41598707400742,1.76299118605049,3.47090730078682,4.3773570934735
89,0,1.27834722930601,2.25463502186724,2.94885319649897,4.91131575046218
89,0,4.24383857276019,3.14048962991231,2.97898403691956,3.68363165374558
89,0,3.45435097004509,1.68581239125161,4.51708008758212,1
89,0,2.82656404049287,7.14540154597793,3.6591497580455,4.91626954713447
89,0,1.87360320566491,1.31679591400258,1.04539139128047,7.28341101641963
89,0,1,3.65540003728992,2.7217779508397,1
89,0,1,4.76678045634683,2.22250704562872,2.7633513830788
89,0,1.80342863647321,1,4.54051267622101,3.83225031914418
89,0,3.23654594798739,2.00454467988986,1.14999053891214,1
89,0,3.18507941853706,1,3.35316836141732,1
89,0,2.37210727462275,1,1.56205176170489,1
