"ID","gameteSizeGene1","fusionTargetGene1","investCompetitionGene1","investParentingGene1","mpTradeoffGene1","prefGene1","traitGene1","learningGene1","gameteSizeGene2","fusionTargetGene2","investCompetitionGene2","investParentingGene2","mpTradeoffGene2","prefGene2","traitGene2","learningGene2","parentHist","meat1Hist","meat2Hist","plant1Hist","plant2Hist","reward","mID","hh","state","hhState","environment"
64,4.36473715742653,2.43703022438873,0.368299740205095,0.80626336336519,0.000706576824628418,0.573425395796408,0.724113863886672,1,1,7.05834530932461,0.704690273799739,0.789988461588664,0.00758903477325514,0.642981958718127,0.638719274580856,1,701,534,53,1163,49,1647.97222222222,117,64,"successful",1,2
65,4.42886595523644,2.46132167936904,0.0940490848779848,0.810209483627379,0.0561855696610096,0.519328582786703,0.677494122834588,1,4.36473715742653,2.43703022438873,0.457124298497681,0.752995356645339,0.199192512528073,0.99495801224584,0.56031185471431,1,1032,302,43,1062,61,2326.41666666667,407,65,"parenting",3,2
66,1,7.05834530932461,0.956762172282613,0.470717492941323,0.0698243025951295,0.672560183220796,0.705909651116957,1,4.36473715742653,2.43703022438873,0.470922222152239,0.348033854310934,0.0103786506483471,0.581517620646965,0.843399392858841,1,726,1086,56,589,43,2024.58333333333,150,66,"parenting",3,2
67,4.36473715742653,2.43703022438873,0.615280055774463,0.699176003606639,0.0403185896437295,0.592915026685484,0.784895203769286,1,1,7.05834530932461,1,0.670136037099585,0,0.676431119012576,0.685941473568527,1,1191,791,39,430,49,2333.33333333333,266,67,"successful",1,2
68,4.36473715742653,2.43703022438873,0.408958436017293,0.704766379534046,0.0414207838844371,0.734162033752065,0.671961482762434,1,1,7.05834530932461,0.709775682964883,0.205156402222415,0,0.657259890880012,0.844769994684334,1,1113,498,45,799,45,2321.66666666667,143,68,"parenting",3,2
69,1,7.05834530932461,0.963328189637429,0.718878148839737,0.0805049245154994,0.728368471007963,0.73377462108203,1,1,7.05834530932461,0.978156895306126,0.853114942421291,0,0.67366019202261,0.690267137092881,1,637,967,54,800,42,2249.33333333333,5,5,"successful",1,2
70,4.36473715742653,2.43703022438873,0.13142902382627,0.853626777676588,0.171770103990604,0.873501584260201,0.551583506249765,1,4.36473715742653,2.43703022438873,0.484222702664881,0.627771816368652,0,0.680463618250693,0.786850691575701,1,1010,445,66,929,50,2124.13888888889,373,70,"parenting",1,2
71,4.36473715742653,2.43703022438873,0,0.722510375381813,0.131244886693897,0.710371383329492,0.781123138251064,1,1,7.05834530932461,0.735844080441838,0.759989845038026,0.109863750693218,0.652956561908002,0.68258600286794,1,1225,617,59,505,94,1852.58333333333,203,71,"successful",1,2
72,4.36473715742653,2.43703022438873,0.104524674372974,0.614270220471363,0,0.832960132516271,0.733460697895299,1,4.36473715742653,2.43703022438873,0.385848239758448,0.428974971442359,0.0929642976531454,0.833075994160934,0.796392615214568,1,1062,648,42,693,55,1861.80555555556,28,28,"parenting",2,2
73,1,7.05834530932461,0.67730500880172,0.572981106275209,0,0.660315736733414,0.694071310241179,1,4.36473715742653,2.43703022438873,0.036509922827225,0.460655668896807,0.0115607574320831,0.758060091074987,0.674429581019761,1,1179,203,40,1022,56,2002.5,258,73,"parenting",2,2
74,1,7.05834530932461,0.619779455499467,0.745143276727345,0.0608031841947747,0.57152985373409,0.776983083379918,1,1,7.05834530932461,0.72350905423,0.504393217293668,0,0.542601993763711,0.616615746133441,1,331,799,49,1270,51,1631.97222222222,429,74,"successful",1,2
75,1,7.05834530932461,0.927949019533078,0.904104742886153,0.00115173555434783,0.64375528491934,0.751360000942686,1,4.36473715742653,2.43703022438873,0.465112059039805,0.441536492181301,0.156908209832327,0.571281904218153,0.662467098551775,1,1254,517,55,624,50,2198.69444444445,406,75,"parenting",3,2
76,1,7.05834530932461,0.719449804833521,0.810139199248781,0.106859972559331,0.706109802366465,0.785108419469218,1,1,7.05834530932461,0.808260766400117,0.797865445622868,0.0604403446994273,0.683706652558866,0.655794622520492,1,940,518,295,689,58,1841.86111111111,434,76,"parenting",1,2
77,1,7.05834530932461,0.931385839643419,0.463789471552303,0.00222863394354765,0.563642216152766,0.707818332384805,1,4.36473715742653,2.43703022438873,0.577998079112277,0.646058179864059,0.0378209221723722,0.906594225199258,0.700923032086315,1,802,795,35,827,41,2332.16666666667,208,77,"parenting",1,2
78,1,7.05834530932461,0.754344975386461,0.242229651293442,0.0340147394491268,0.679149863843208,0.683566513950839,1,4.36473715742653,2.43703022438873,0.285649925196661,0.183730262424464,0,0.71190808050812,0.6450753489659,1,1110,907,48,164,271,2024.30555555555,426,78,"parenting",2,2
